Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Varav polyoler,Fosfor,Vitamin B12,Vitamin D,Folsyra,Selen,Järn,Magnesium,Zink,Varav enkelomättat fett,Varav fleromättat fett,Fluorid,Vitamin B6,Natrium,Kalcium,Material,Kalium,Vitamin E,Pantotensyra,url
Glass Magnum Mini Almond 6-p Magnum,"69,00 kr","6 per frp 11,50 kr/st",276 kcal,1154 kJ,17 g,10 g,26 g,24 g,3.8 g,0.11 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-magnum-mini-almond-6-p-magnum/2131229
Glass Chocolate Fudge Brownie 465ml Ben & Jerrys,"80,00 kr","0.465L 172,04 kr/l",218 kcal,914 kJ,11 g,6.8 g,25 g,23 g,3.7 g,0.2 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-chocolate-fudge-brownie-465ml-ben-jerrys/2054662
Glass Klassikerlåda 18-pack GB Glace,"168,00 kr","1.413L 118,90 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-klassikerl%C3%A5da-18-pack-gb-glace/2035414
Choco Crunch 90g Olw,"40,90 kr","0.09kg 454,44 kr/kg",570 kcal,2360 kJ,36 g,16 g,53 g,38 g,7.9 g,0.84 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/choco-crunch-90g-olw/2095717
Chokladkaka Vit choklad Strawberry Cheesecake 180g Tony's Chocolonely,"56,00 kr","0.18kg 311,11 kr/kg",542 kcal,2272 kJ,33 g,19 g,55 g,52 g,6.3 g,0.22 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-vit-choklad-strawberry-cheesecake-180g-tony-s-chocolonely/2112537
Cheez ballz liten påse 35g OLW,"11,90 kr","0.035kg 340,00 kr/kg",540 kcal,2250 kJ,31 g,5.5 g,54 g,2.8 g,11 g,1.9 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cheez-ballz-liten-p%C3%A5se-35g-olw/1129304
Nöt & bärmix 150g ICA Gott Liv,"49,90 kr","0.15kg 332,67 kr/kg",418 kcal,1750 kJ,23 g,3 g,52 g,43 g,7 g,0.01 g,6 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/n%C3%B6t-b%C3%A4rmix-150g-ica-gott-liv/1382315
Jordnötter Salta 275g Estrella,"33,90 kr","0.275kg 123,27 kr/kg",614 kcal,2545 kJ,50.7 g,8 g,11 g,5.3 g,24 g,1.4 g,8.2 g,,389 mg,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/jordn%C3%B6tter-salta-275g-estrella/1413099
Tyrkisk peber 150g Fazer,"27,90 kr","0.15kg 186,00 kr/kg",364 kcal,1528 kJ,0.5 g,0 g,89 g,72 g,0.5 g,1.56 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tyrkisk-peber-150g-fazer/1298340
Chips krispiga med smak av Tryffel 150g Gårdschips,"33,90 kr","0.15kg 226,00 kr/kg",499 kcal,2087 kJ,29.4 g,1.8 g,48.2 g,0.4 g,7.9 g,1.4 g,5.9 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-krispiga-med-smak-av-tryffel-150g-g%C3%A5rdschips/1485190
Nötmix med pistage 200g ICA,"47,90 kr","0.2kg 239,50 kr/kg",612 kcal,2538 kJ,49 g,7.3 g,17 g,5.7 g,22.3 g,0.8 g,6.6 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/n%C3%B6tmix-med-pistage-200g-ica/2165533
Chokladkaka Mörk Chocolate Brownie 180g Tony's Chocolonely,"56,00 kr","0.18kg 311,11 kr/kg",540 kcal,2259 kJ,34 g,20 g,48 g,43 g,7.7 g,0.19 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-m%C3%B6rk-chocolate-brownie-180g-tony-s-chocolonely/2112538
Chips Havssalt Grytfriterade 180g ICA,"32,90 kr","0.18kg 182,78 kr/kg",513 kcal,2148 kJ,28 g,2.8 g,57 g,0.6 g,6.8 g,1.4 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-havssalt-grytfriterade-180g-ica/2072509
"Chips Brynt Smör, Vitlök, Havssalt 275g Estrella","40,90 kr","0.275kg 148,73 kr/kg",518 kcal,2156 kJ,33 g,2.7 g,46 g,2.9 g,5.6 g,1.4 g,5.1 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-brynt-sm%C3%B6r-vitl%C3%B6k-havssalt-275g-estrella/2165273
Twister 1-p GB Glace,"16,90 kr",,98 kcal,411 kJ,0.5 g,0.4 g,22 g,17 g,0.5 g,0.03 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/twister-1-p-gb-glace/2108936
Müslibar BIG Chocolate 50g Corny,"14,90 kr","0.05kg 298,00 kr/kg",441 kcal,1853 kJ,16 g,9.4 g,67 g,34 g,6 g,0.53 g,3.2 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/m%C3%BCslibar-big-chocolate-50g-corny/1462989
Chokladkaka Frukt & Mandel 100g Marabou,"33,90 kr","0.1kg 339,00 kr/kg",520 kcal,2175 kJ,29.5 g,16 g,56.5 g,55.5 g,5.3 g,0.28 g,2.9 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-frukt-mandel-100g-marabou/1005050
Dadlar Färska 400g Klass 1 ICA,"49,90 kr","0.4kg 124,75 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dadlar-f%C3%A4rska-400g-klass-1-ica/2060990
Godis Gott & Blandat Super sur 170g Malaco,"26,90 kr","0.17kg 158,24 kr/kg",360 kcal,1523 kJ,0.1 g,0.1 g,86 g,57 g,3.1 g,0.52 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godis-gott-blandat-super-sur-170g-malaco/1431986
LantChips Chili Habanero 200g LantChips,"30,90 kr","0.2kg 154,50 kr/kg",525 kcal,2295 kJ,28 g,2.5 g,57 g,4.1 g,6.9 g,1.5 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lantchips-chili-habanero-200g-lantchips/2138836
Gräddglass Vår finaste Salt Karamell 500ml SIA GLASS,"63,00 kr","0.5L 126,00 kr/l",260 kcal,1100 kJ,14 g,9.1 g,30 g,27 g,3.4 g,0.4 g,0 g,0 g,,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-v%C3%A5r-finaste-salt-karamell-500ml-sia-glass/2067317
Cheez cruncherz Hot Chili 225g OLW,"42,90 kr","0.225kg 190,67 kr/kg",590 kcal,2450 kJ,42 g,5.5 g,45 g,3.3 g,7.8 g,1.6 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cheez-cruncherz-hot-chili-225g-olw/1485146
Tuggummi sockerfri Infinity Raspberry/Peach 30g Stimorol,"22,90 kr","0.03kg 763,33 kr/kg",187 kcal,781 kJ,1.5 g,1 g,69 g,0.1 g,1.3 g,0.01 g,,69 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuggummi-sockerfri-infinity-raspberry-peach-30g-stimorol/2150719
Halstabletter Original 75g Dr Dryels,"20,90 kr","0.075kg 278,67 kr/kg",390 kcal,1658 kJ,0 g,0 g,98 g,82 g,0 g,0.18 g,,0 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/halstabletter-original-75g-dr-dryels/1004577
Nötmix BBQ 140g Treatville,"25,90 kr","0.14kg 185,00 kr/kg",581 kcal,2410 kJ,44 g,6.4 g,23 g,5.6 g,21 g,1.2 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/n%C3%B6tmix-bbq-140g-treatville/2125351
Choklad Daim Bites 145g Marabou,"59,00 kr","0.145kg 406,90 kr/kg",510 kcal,2134 kJ,27 g,15 g,61 g,53 g,5.3 g,0.82 g,1.7 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/choklad-daim-bites-145g-marabou/2000552
Sportlunch 80g Cloetta,"24,90 kr","0.08kg 311,25 kr/kg",527 kcal,2214 kJ,29 g,17 g,60 g,52 g,6.6 g,0.35 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sportlunch-80g-cloetta/1002459
Naturella cashewnötter 70g ICA Gott Liv,"24,90 kr","0.07kg 355,71 kr/kg",597 kcal,2499 kJ,48 g,8.7 g,19 g,5.9 g,18 g,0 g,8.3 g,,,,,,,5 mg,257 mg,4.7 mg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/naturella-cashewn%C3%B6tter-70g-ica-gott-liv/1484472
Kexchoklad minirutor 150g Cloetta,"43,90 kr","0.15kg 292,67 kr/kg",507 kcal,2126 kJ,25 g,15 g,60 g,44 g,9.6 g,0.4 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kexchoklad-minirutor-150g-cloetta/1298061
S-märken Salt 70g Candypeople,"16,90 kr","0.07kg 241,43 kr/kg",350 kcal,1450 kJ,0 g,0 g,83 g,77 g,2.8 g,0 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/s-m%C3%A4rken-salt-70g-candypeople/1499447
Cashewnötter 400g ICA Basic,"73,00 kr","0.4kg 182,50 kr/kg",611 kcal,2534 kJ,49 g,8.5 g,21 g,5.4 g,19 g,0.8 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cashewn%C3%B6tter-400g-ica-basic/1504513
Choklad Polly Banana Split 150g Cloetta,"40,90 kr","0.15kg 272,67 kr/kg",470 kcal,1968 kJ,19 g,11 g,71 g,68 g,4.3 g,0.11 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/choklad-polly-banana-split-150g-cloetta/2166235
Kick Original 19g,"7,90 kr","0.019kg 415,79 kr/kg",436 kcal,1833 kJ,15 g,15 g,72 g,53 g,2.8 g,0.11 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kick-original-19g/1297894
Tuggummi Black mint 29g Extra,"22,90 kr","0.029kg 789,66 kr/kg",141 kcal,586 kJ,0 g,0 g,59 g,0 g,0 g,0 g,,59 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuggummi-black-mint-29g-extra/2128785
Tuggummi White Sweet fruit 29g Extra,"22,90 kr","0.029kg 789,66 kr/kg",162 kcal,674 kJ,0 g,0 g,67 g,0 g,0 g,5 g,,67 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuggummi-white-sweet-fruit-29g-extra/2024084
LantChips Lagrad Ost Räfflade 200g LantChips,"30,90 kr","0.2kg 154,50 kr/kg",487 kcal,2039 kJ,25.6 g,2.8 g,55.6 g,2.3 g,8.7 g,1.4 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lantchips-lagrad-ost-r%C3%A4fflade-200g-lantchips/2165290
Chips Tzatziki 150g Redhead,"40,90 kr","0.15kg 272,67 kr/kg",486 kcal,2032 kJ,26 g,2.7 g,56 g,2.2 g,8.7 g,1.4 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-tzatziki-150g-redhead/2165280
Marconamandlar Rostade med havssalt 100g ExoticSnacks,"55,00 kr","0.15kg 366,67 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/marconamandlar-rostade-med-havssalt-100g-exoticsnacks/2164033
Chokladpåse Non Stop 150g Marabou,"47,90 kr","0.15kg 319,33 kr/kg",483 kcal,2027 kJ,20 g,11 g,70 g,69 g,3.5 g,0.01 g,5.2 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladp%C3%A5se-non-stop-150g-marabou/2159033
Torkad frukt Tropisk Dried Melon 200g Sunshine Delights,"66,00 kr","0.2kg 330,00 kr/kg",337 kcal,1415 kJ,0.2 g,0.1 g,81 g,73 g,0.9 g,1.6 g,3.8 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/torkad-frukt-tropisk-dried-melon-200g-sunshine-delights/2149796
Sockervadd Jordgubb 50g Fluffyz,"24,90 kr","0.05kg 498,00 kr/kg",404 kcal,1690 kJ,0 g,0 g,100 g,100 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sockervadd-jordgubb-50g-fluffyz/1500107
Choklad Kex med nougatsmak 50g Marabou,"17,90 kr","0.05kg 358,00 kr/kg",525 kcal,2196 kJ,28 g,15 g,60 g,40 g,6.5 g,0.4 g,2.5 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/choklad-kex-med-nougatsmak-50g-marabou/2011535
Halstablett Mixed Berry Sockerfri 25g Fishermans,"20,90 kr","0.025kg 836,00 kr/kg",249 kcal,1037 kJ,1.2 g,1.2 g,97 g,0.5 g,0.5 g,0.01 g,,95 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/halstablett-mixed-berry-sockerfri-25g-fishermans/2159291
Kexchoklad mini 156g Cloetta,"36,90 kr","0.156kg 236,54 kr/kg",502 kcal,2106 kJ,24 g,14 g,61 g,42 g,9.7 g,0.41 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kexchoklad-mini-156g-cloetta/1403789
Chips Paprika 165g Pringles,"43,90 kr","0.165kg 266,06 kr/kg",518 kcal,2164 kJ,29 g,6.3 g,56 g,3.9 g,6.4 g,1.4 g,3.8 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-paprika-165g-pringles/2126260
Mjölkchoklad bar Schweizernöt 43g Marabou,"17,90 kr","0.043kg 416,28 kr/kg",559 kcal,2331 kJ,35 g,17 g,53 g,52 g,5.7 g,0.23 g,2.8 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mj%C3%B6lkchoklad-bar-schweizern%C3%B6t-43g-marabou/2079526
"Glass Magnum mini Classic, Almond, White chocolate 6-p Magnum","69,00 kr","6 per frp 11,50 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-magnum-mini-classic-almond-white-chocolate-6-p-magnum/2131230
Godis Saltlaktris 130g Ahlgrens Bilar,"24,90 kr","0.13kg 191,54 kr/kg",358 kcal,1474 kJ,0.2 g,,83 g,61 g,3.8 g,0.19 g,,,,,,,,,,,0 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godis-saltlaktris-130g-ahlgrens-bilar/1383915
Pecannötter 100g ICA gott liv,"52,00 kr","0.1kg 520,00 kr/kg",714 kcal,2988 kJ,73 g,6.2 g,4 g,4 g,10 g,0 g,13 g,,,,,,,,,4.1 mg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pecann%C3%B6tter-100g-ica-gott-liv/1383759
Halstabletter Salvi 25g Sockerfri Läkerol,"19,90 kr","0.025kg 796,00 kr/kg",192 kcal,800 kJ,0.3 g,0.2 g,51 g,0 g,1.1 g,0.38 g,,50 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/halstabletter-salvi-25g-sockerfri-l%C3%A4kerol/1487412
Noblesse Original crisp 150g Marabou,"69,00 kr","0.15kg 460,00 kr/kg",559 kcal,2333 kJ,35 g,21 g,55 g,50 g,4.7 g,0.35 g,2.3 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/noblesse-original-crisp-150g-marabou/1006875
"Sorbet Hallon 0,5l Triumf Glass","24,90 kr","0.5L 49,80 kr/l",120 kcal,500 kJ,0.5 g,0.5 g,28 g,25 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sorbet-hallon-0-5l-triumf-glass/1456572
Majskoner Choklad Smash! 200g OLW,"66,00 kr","0.2kg 330,00 kr/kg",540 kcal,2260 kJ,33 g,16 g,53 g,38 g,8.1 g,0.88 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/majskoner-choklad-smash-200g-olw/2168231
Dadlar Sour Watermelon 125g DAVE & JON'S,"29,90 kr","0.125kg 239,20 kr/kg",320 kcal,1340 kJ,3 g,1.8 g,64.8 g,52.3 g,2.1 g,0 g,11.4 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dadlar-sour-watermelon-125g-dave-jon-s/2149660
Torkad Mango 200g Sunshine Delights,"60,00 kr","0.2kg 300,00 kr/kg",341 kcal,1448 kJ,0.6 g,0 g,80 g,70 g,1.8 g,0.3 g,4.4 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/torkad-mango-200g-sunshine-delights/2125896
Chips Original 165g Pringles,"43,90 kr","0.165kg 266,06 kr/kg",534 kcal,2227 kJ,31 g,6.6 g,56 g,1.4 g,5.9 g,1.1 g,3.5 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-original-165g-pringles/2125906
Glass Magnum Euphoria 90ml Magnum,"34,90 kr",,240 kcal,1002 kJ,14 g,9.1 g,26 g,22 g,2.9 g,0.11 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-magnum-euphoria-90ml-magnum/2130095
Godispåse Syrlig Frukt 130g Ahlgrens Bilar,"24,90 kr","0.13kg 191,54 kr/kg",358 kcal,1522 kJ,0.1 g,0.1 g,84 g,62 g,3.7 g,0.02 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godisp%C3%A5se-syrlig-frukt-130g-ahlgrens-bilar/2150783
Glass Favorites Daim 825ml GB Glace,"47,90 kr","0.825L 58,06 kr/l",239 kcal,999 kJ,11 g,8.1 g,32 g,27 g,2.5 g,0.24 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-favorites-daim-825ml-gb-glace/2130396
Big pack Tresmak 2l GB Glace,"38,90 kr","2L 19,45 kr/l",179 kcal,749 kJ,6.2 g,5.6 g,30 g,20 g,0.6 g,0.11 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/big-pack-tresmak-2l-gb-glace/2094199
Wasabinötter 110g Exotic Snacks,"21,90 kr","0.11kg 199,09 kr/kg",460 kcal,1900 kJ,19 g,6.2 g,60 g,23 g,10 g,1 g,2.8 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/wasabin%C3%B6tter-110g-exotic-snacks/2138839
Guldnougat Dubbel 50g Cloetta,"15,90 kr","0.05kg 318,00 kr/kg",550 kcal,2300 kJ,33 g,13 g,56 g,55 g,6 g,0.25 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/guldnougat-dubbel-50g-cloetta/1363641
Chokladbar Lion 42g Nestle,"14,90 kr","0.042kg 354,76 kr/kg",488 kcal,2046 kJ,22 g,12 g,66.8 g,53 g,4.9 g,0.49 g,1.3 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladbar-lion-42g-nestle/2057877
Godisstänger Lakritsi Lemon stång 20g Fazer,"6,90 kr","0.02kg 345,00 kr/kg",348 kcal,1458 kJ,0.5 g,0 g,82 g,57 g,2.7 g,0.25 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godisst%C3%A4nger-lakritsi-lemon-st%C3%A5ng-20g-fazer/2141182
Chokladkaka Apelsinkrokant 160g Marabou,"38,90 kr","0.16kg 243,13 kr/kg",531 kcal,2219 kJ,29 g,17 g,61 g,54 g,4.3 g,0.49 g,1.8 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-apelsinkrokant-160g-marabou/2166166
Cool Hallon Skalle 175g Bubs Godis,"24,90 kr","0.175kg 142,29 kr/kg",351 kcal,1468 kJ,0 g,0 g,87 g,61 g,0.4 g,0.1 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cool-hallon-skalle-175g-bubs-godis/1508869
Godis Jordgubb Cola Sockerfri 70g Wellibites,"36,90 kr","0.07kg 527,14 kr/kg",243 kcal,1012 kJ,0 g,0 g,90 g,0 g,0.3 g,0.11 g,,61 g,,,,,,,79 mg,,0 g,0 g,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godis-jordgubb-cola-sockerfri-70g-wellibites/2075346
Russin Kärnfria 6-p 252g ICA,"43,90 kr","0.252kg 174,21 kr/kg",320 kcal,1400 kJ,0.5 g,0.2 g,78 g,73 g,2.5 g,0.06 g,5 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/russin-k%C3%A4rnfria-6-p-252g-ica/1129272
Halstabletter YUP Wild sour Sockerfri 30g Läkerol,"24,90 kr","0.03kg 830,00 kr/kg",207 kcal,854 kJ,0.2 g,0.2 g,58 g,0 g,0.7 g,0.12 g,,57 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/halstabletter-yup-wild-sour-sockerfri-30g-l%C3%A4kerol/1422244
Godis Lakritsdäck 130g Ahlgrens Bilar,"24,90 kr","0.13kg 191,54 kr/kg",356 kcal,1463 kJ,0.2 g,0.2 g,82 g,56 g,4.3 g,0.22 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godis-lakritsd%C3%A4ck-130g-ahlgrens-bilar/2112347
Godispåse StjärnMix 170g Haribo,"24,90 kr","0.17kg 146,47 kr/kg",348 kcal,1476 kJ,0.5 g,0.1 g,79 g,49 g,6.1 g,0.01 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godisp%C3%A5se-stj%C3%A4rnmix-170g-haribo/2018559
Västkustchips Vitlök Gräslök Chili 180g Estrella,"35,90 kr","0.18kg 199,44 kr/kg",475 kcal,1984 kJ,26 g,2.2 g,51 g,3 g,6.7 g,1.2 g,5.9 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/v%C3%A4stkustchips-vitl%C3%B6k-gr%C3%A4sl%C3%B6k-chili-180g-estrella/1531000
Glass Nougat 500ml GB Gräddglass,"18,90 kr","0.5L 37,80 kr/l",124 kcal,519 kJ,6.1 g,2.3 g,15 g,13 g,1.6 g,0.06 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-nougat-500ml-gb-gr%C3%A4ddglass/2067299
Hasselnötter 175g ICA gott liv,"59,00 kr","0.175kg 337,14 kr/kg",711 kcal,2935 kJ,68 g,8.5 g,8 g,2.3 g,14 g,0 g,5.8 g,,,,,,,3 mg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hasseln%C3%B6tter-175g-ica-gott-liv/1383748
Gelégodis Fläder & hallon Vegansk 70g Wellibites,"36,90 kr","0.07kg 527,14 kr/kg",204 kcal,852 kJ,0 g,0 g,93 g,0 g,0.3 g,0.1 g,,73 g,,,,,,,,2.5 mg,0 g,0 g,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gel%C3%A9godis-fl%C3%A4der-hallon-vegansk-70g-wellibites/2039397
Chips Dill & Wasabi 150g Redhead,"40,90 kr","0.15kg 272,67 kr/kg",488 kcal,2040 kJ,26 g,2.6 g,56.8 g,1.4 g,8 g,1.4 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-dill-wasabi-150g-redhead/2149630
Mjölkchoklad 43g Marabou,"17,90 kr","0.043kg 416,28 kr/kg",550 kcal,2290 kJ,32 g,19.5 g,58.5 g,58 g,4.7 g,0.33 g,2 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mj%C3%B6lkchoklad-43g-marabou/1353684
Tuggummi Eukalyptus Sockerfri 84g Extra,"56,00 kr","0.084kg 666,67 kr/kg",147 kcal,614 kJ,0 g,0 g,61 g,0 g,0 g,0 g,,61 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuggummi-eukalyptus-sockerfri-84g-extra/1455175
Bilar Sursockrade 130g Ahlgrens Bilar,"24,90 kr","0.13kg 191,54 kr/kg",354 kcal,1497 kJ,0.1 g,0 g,84 g,62 g,3.7 g,0.02 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bilar-sursockrade-130g-ahlgrens-bilar/1343597
Jordnötsringar 250g Estrella,"39,90 kr","0.25kg 159,60 kr/kg",465 kcal,1945 kJ,25 g,3.1 g,46 g,8.4 g,12 g,2.3 g,5.5 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/jordn%C3%B6tsringar-250g-estrella/2061860
Chokladkaka Daim 160g Marabou,"38,90 kr","0.16kg 243,13 kr/kg",544 kcal,2272 kJ,32 g,18 g,60 g,59 g,3.8 g,0.49 g,1.6 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-daim-160g-marabou/2166165
Chokladkaka Mandel Choco lonely 47g Tony's,"21,90 kr","0.047kg 465,96 kr/kg",539 kcal,2252 kJ,35 g,18 g,44 g,42 g,7.4 g,0.51 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-mandel-choco-lonely-47g-tony-s/2096162
Rotfruktschips 100g KRAV ICA I love eco,"35,90 kr","0.1kg 359,00 kr/kg",520 kcal,2150 kJ,36 g,3.1 g,38 g,18 g,5.6 g,1.3 g,12.6 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/rotfruktschips-100g-krav-ica-i-love-eco/1441163
Glass Pirulo Watermelon 1-p Nestle,"20,90 kr",,88 kcal,372 kJ,0.5 g,0.2 g,21 g,16 g,0.5 g,0.01 g,0.5 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-pirulo-watermelon-1-p-nestle/2014821
Caramel Brownie Party 465ml Ben & Jerrys,"80,00 kr","0.465L 172,04 kr/l",228 kcal,956 kJ,12 g,7.4 g,27 g,23 g,3.5 g,0.38 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/caramel-brownie-party-465ml-ben-jerrys/2094158
